"service","date","time","message"
"twitter",2021-07-14,23:09:00,"opposite6891 al ariman lawan makan nasi entar urus"
"instagram",2021-08-13,22:58:00,"bismillahirrahmanirrahim sparkles payless sale merdeka smiling face with heart eyes price 229 500 size 39 45 harga atas harga diskon jastip 10k item 15k 2item how order 1 screenshoot kirim barang jastip kirim dm wa 085856172368 2 serta warna ukur merk 3 transfer total admin 4 barang carik 5 barang soldout dana kembal full rekening baca baca kena potong 6500 biaya trf bank trf 50 000 kembal 43 500 happy shopping face blowing a kiss"
"youtube",2021-07-14,15:20:00,"ada solusi"
"instagram",2021-07-26,16:25:00,"semangat jalan mie setan lovers pikir ber asumsi postif ya mie setan lovers salah kunci sehat ber pikir positif jernih stay safe and stay healthy ya"
"twitter",2021-09-06,16:04:00,"ferdinandhaean3 ledak pusat bijak ppkm dana ekonomi ganggu ujung2nya disalahin presiden muak"
"twitter",2021-07-25,00:10:00,"ppkm pengin pacarin kakanda mark"
"twitter",2021-07-21,12:09:00,"ppkm level 4 bikin masyarakat mencret mencret"
"twitter",2021-07-05,05:48:00,"masyarakat papua dukung sukses pon xx papua 2021 ppkm pulih bangsa"
"twitter",2021-07-02,06:22:00,"ketat terap ppkm mikro via radarjogja"
"instagram",2021-07-28,20:53:00,"bahan baku marmer granit semangat exclamation mark exclamation mark loudspeaker yuk manfaat bahan baku pushpin kijing pushpin paes pushpin kepala nisan pushpin prasasti pushpin papan nama pushpin top table hubung fire order konsultasi jangn takut ramah senangtiasa bantu butuh fire telephone no telp whatsapp 082260064141 langsung toko globe showing europe africa jl yos sudarso dusun 1 pasir kidul purwokerto barat kabupaten banyumas jawa barat pom bensin kalibogor"
"twitter",2021-08-20,18:53:00,"harap ppkm ora panjang sayuurr b jawa"
"twitter",2021-07-28,18:58:00,"siwiragils mbak stay at home patuh prokes dukung ppkm darurat ya"
"twitter",2021-07-05,11:01:00,"halo barudaks ppkm darurat panabox layan free delivery nih order minimal 50rb langsung rumah khusus kota bogor info cek instagram panabox official klik tunggu ya daks"
"youtube",2021-07-05,10:57:00,"shift masuk pasuk sebar covid19 kalo pintar perang keluar duit apa pakai bom senjata wkwkwk"
"instagram",2021-07-23,15:48:00,"ppkm nyanyi rumah"
"twitter",2021-09-07,09:05:00,"ppkm panjang jabat"
"twitter",2021-07-07,10:19:00,"covid 19 gawat usaha non esensial bandel nyuruh karyawan wfo atur ppkm darurat kerja non esensial wajib wfh 100 parah anies temu hamil 8 wfo"
"twitter",2021-07-25,18:33:00,"tanribali biasa pemerintah abang"
"twitter",2021-07-22,11:24:00,"poldajogja terima kasih folded hands"
"twitter",2021-07-25,20:57:00,"mending buka stadium pakde terima kasih folded hands"
"instagram",2021-08-22,22:04:00,"nama aidha yuarahma nur fallahah npm 21033010006 kelompok 12 lactococcus lactis nama pakai kak diella diellatrisnaa manajemen orang mahasiswa padat giat mahasiswa maksimal nilai akademik eksis organisasi nongkrong bareng teman mahasiswa pintar pintar atur 24 jam manajemen mahasiswa raih goalsnya mudah tp21"
"instagram",2021-09-20,10:40:00,"ready set cel jersey 72 000 order 3 pcs harga reseller yuk singgah pushpin alamat jalan kumala no21b samping cell cod makassar pushpin welcome reseller gabung grup reseller whatsapp bio mobile phone telephone"
"youtube",2021-07-31,13:13:00,"kali fokus mas ave wes plek ketiplek bjoku awke cungkring snengane nggae clno kolor sndale swallow mpe nang nytok sndal wallow female sign semangat tim superr sukses sht"
"instagram",2021-09-09,19:46:00,"suka banget nih kak clapping hands"
"twitter",2021-07-21,09:46:00,"fadlizon mie setan pakai level 3 4 rezim setan level 3 4"
"twitter",2021-09-21,08:06:00,"babyjin aladin ppkm jaga jarak glendotan alur lama flash backnya disappointed face disappointed face disappointed face"
"instagram",2021-07-17,18:41:00,"inspirasi malam minggu simpel oke nih 1 pakai kaos putih hitam polos fit body oversized 2 pilih celana kulot 3 kalung etnik alternatif aksesoris tambah pakai sneakers ya sneakers warna nada celana bagus banget style nya"
"instagram",2021-08-16,17:50:00,"danpakiten i jeneng opo om jhon"
"twitter",2021-07-18,21:30:00,"ppkm darurat tumpang krl kurang signifikan"
"twitter",2021-09-12,11:57:00,"covid politik vaksin gratis bahaya vaksin bayat korupsi ppkm nongki salah pemerintah"
"twitter",2021-09-08,16:14:00,"pasti ppkm efektif twitter com humaspoldajati"
"twitter",2021-07-13,22:52:00,"oposisicerdas alah manusia sampah kayak omong dengar uang komisi cair"
"instagram",2021-07-09,03:41:00,"umur 20 payudara mu yuk atas dapat hasil untk info lengkap nya produk harga produk langsung contact ya kak wa 082361834386"
"instagram",2021-08-16,15:34:00,"saacan curug panganten c cerai mah panjang keneh cigana"
"twitter",2021-08-16,21:47:00,"andihiyat ppkm panjang sadar lampias"
"twitter",2021-07-27,21:35:00,"hei kalo pacar cuek ppkm putus pacar kusiap ganti"
"instagram",2021-07-29,11:57:00,"bunda ppkm perut tubuh melar tenang solusi turun bb slimfithealty bestseller sih rahasia perut biar ramping kasih tau rahasia sft extraslim pakai slimfithealty bestseller jamin produk 100 original daftar bpom halal grade a wajib banget coba slimfithealty bestseller bahan2 nya herbal alami ampuh banget turun berat badan 1 paket turun 8 10 kilo lho 1 minggu olah raga diet ketat bahan2 penuh herbal aman susu laki laki perempuan 100 aman program hamil ya trumpet customer wajib konsultasi order ya trumpet discount spesial 30 slimfithealty bestseller discount berlaku beli link tera ya two hearts konsul order wa telephone receiver call 62 8566203792 white heavy check mark package produk jamin orisinal 100 white heavy check mark package ayan muas white heavy check mark package layan kirim neger"
"instagram",2021-07-11,09:15:00,"hai everyone im ready for mpls smakara 21 22 alvin mukaromah ikut mpls online 2021 2022 semangat ajar vws yess tidur larut malam akibat sakit bahaya siang 22"
"twitter",2021-09-07,13:56:00,"dagang angkringan gugat jokowi ptun setop ppkm thumbs up thumbs up thumbs up"
"twitter",2021-07-21,18:49:00,"iamyogas dinata dana infomalang tentu jam operasional wali kota malang nomor 42 2021 ppkm level 4 simak poin nggih"
"twitter",2021-07-14,08:35:00,"dighosting pas ppkm sepianya 2 kali lipat"
"youtube",2021-07-20,22:34:00,"sepi ya mas tempat rame zona merah"
"instagram",2021-07-07,12:01:00,"rumah ppkm order produk reklame via whatsapp ya langsung sambung cs konsultasi produk cetak proses mudah cepat hemat tenaga tinggal chatt telepon butuh langsung proses deh mudah"
"twitter",2021-07-21,15:17:00,"bukti laksana ppkm darurat data tambah penuh bed rumah sakit alami turun lho sobs"
"twitter",2021-08-20,08:33:00,"ppkm kayak selesai kalo rowoon update ig vlive deh"
"instagram",2021-07-18,21:12:00,"besar payudara pikir operasi implan biaya ratus juta besar payudara tinggal akibat implan payudara pikir besar payudara cream minyak cream minyak besar payudara pikir payudara anak payudara kendor akibat lahir susu smiling face with smiling eyes ya customer2 pikir putus alat besar payudara baik oleh hasil muas ratus customer testimoni bahagia smiling face with smiling eyes ambil fast respond konsultasi langsung instagram wa 0895334217589"
"twitter",2021-08-09,20:26:00,"denayasafira ppkm manjang nebeng pulang hahahaha"
"twitter",2021-07-25,19:48:00,"asih tau kalo ppkm panjang gila"
"twitter",2021-08-23,22:25:00,"sakkarepmu pack"
"twitter",2021-10-19,18:37:00,"mendagri terbit instruksi lanjut ppkm ebc news mediaedukasiborneo com mendagri bi gerak cepat polri zidane rachel dita"
"instagram",2021-07-25,20:24:00,"tekan bakdo sis wae min face with tears of joy face with tears of joy"
"youtube",2021-07-13,20:43:00,"moga kabar kabar bansos sunat moga sasar"
"twitter",2021-10-17,18:35:00,"bangtwicepopper ppkm nih lu swab pcr gue sih mau pcr lu"
"instagram",2021-08-13,10:08:00,"fb akun dibio orang unfoll red heart raising hands"
"instagram",2021-07-11,09:15:00,"jalan sehat"
"instagram",2021-08-07,07:22:00,"daftar"
"twitter",2021-07-20,20:12:00,"pemerintah rajin turun razia perut lapar ppkm darurat sis emil pertebal empati pamer makan mewah tonton sinetron psi id"
"youtube",2021-08-22,10:00:00,"ppkm pahlawan pahlawan kristus menang sunday service selamat minggu selamat ibadah tuhan yesus berkat smiling face with halo"
"instagram",2021-09-24,22:44:00,"bengong baca koran kaltara edisi cetak sabtu 25 september 2021 birau prokes ketat pajak 1 persen 5 rawat sneaker bahan kulit luhut ppkm terap follow ig sobirinshut fb sobirin shut fanpage sobirin youtube sobirin shut"
"twitter",2021-09-20,21:09:00,"aladin ppkm sambung nih moga salah smiling face with smiling eyes"
"instagram",2021-09-03,18:54:00,"idr backhand index pointing down order mesan backhand index pointing down backhand index pointing down backhand index pointing down admin backhand index pointing down backhand index pointing down wa 08987070870 rek baca bank order backhand index pointing down 1 kirim gambar order 2 nama no hp 3 alamat lengkap 4 nama kirim dropship 5 total order kirim jne t delivery truck bandung minat langsung hubung kontak bio terimakasih"
"instagram",2021-07-14,20:37:00,"bijak bejat ya lur bijak baik mudharatnya"
"twitter",2021-07-03,04:56:00,"ppkm darurat final fix hassembuh 1 jpg"
"twitter",2021-07-02,08:52:00,"ppkm jawa bal blio solowesi"
"instagram",2021-07-26,19:37:00,"manis nih sedih mana gaboleh rumah nikmat chocolate rumah sparkles chocolate bar"
"twitter",2021-07-05,01:42:00,"dukung putus presiden joko widodo kait terap ppkm darurat"
"twitter",2021-07-24,11:31:00,"humasresbkl polisi jatim encek patuh prokes"
"twitter",2021-08-03,11:33:00,"butuh isoman jamin panjang ppkm level 4"
"instagram",2021-07-28,19:46:00,"cari pasang hayo nikah galeri kakak lho konsultasi mahar pesan online beecraftart wa cs link bio ya backhand index pointing up encek inspirasi mahar official hashtag follow beecraftart beesign id nice motret jasaseserahanpemalang"
"twitter",2021-09-26,22:24:00,"yuk harap tau jingle ppkm jilid folded hands twitter com eaststar 688 sih"
"twitter",2021-07-07,19:31:00,"miduk17 tuhan adil bang ditunjukkqnlah asli sih gabener"
"twitter",2021-07-21,08:46:00,"fadlizon running the family bang"
"instagram",2021-07-25,20:17:00,"presiden joko widodo umum panjang pemberlakuan batas giat masyarakat ppkm level 4 bijak lanjut delapan hitung 26 juli 2 agustus 2021 penyesuaian panjang ppkm level 4 penyesuaian kait aktivitas mobilitas masyarakat tahap laksana ekstra hati hati jokowi tayang youtube sekretariat presiden minggu 25 7 2021 malam panjang ppkm level 4 warung makan dagang kaki lapak jajan usaha ruang buka boleh buka ppkm boleh sistem take away panjang ppkm level 4 unjung boleh makan dapat informasi inspirasi insight email daftar email batas kapasitas izin buka protokol sehat ketat 20 00 maksimum makan unjung 20 menit jokowi panjang ppkm level 4 pasar rakyat jual sembako hari boleh buka protokol sehat ketat pasar rakyat jual butuh pokok hari izin buka kapasitas maksimal 50 persen 15 00 dagang kaki toko kelontong agen outlet voucher pangkas rambut laundry dagang asong bengkel cuci kendara usaha usaha jenis diziinkan buka protokol sehat ketat 21 00 jokowi source kompas com"
"twitter",2021-07-04,17:14:00,"informasi titik sekat jalan tol jasa marga group rangka dukung ppkm darura"
"twitter",2021-09-18,10:51:00,"poldajateng ragu pikir vaksinasi indonesia pandemi laksana 5m"
"instagram",2021-07-10,10:18:00,"hey pengin sih eyelash nih admin info loh smiling face with smiling eyes cantik produk haeun order shopee ha eun beauty tokopedia ha eun beauty website haeunbeauty com cv haeun cirebon round pushpin jl cangkring 2 no 27 keluarga kejaksan c kejaksan kota cirebon jawa barat 45123 mobile phone 0231 885 3696 wa 0851 5767 6463"
"youtube",2021-07-19,22:44:00,"ppkm panjang gila"
"twitter",2021-07-13,18:40:00,"libur sekolah ppkm tonton film doraemon episode rcti rctiplus"
"twitter",2021-08-16,20:53:00,"kayak ppkm program cicil minggu bunga 0 sih"
"twitter",2021-08-12,13:01:00,"babycasper a parah efek ppkm level 4 kah"
"twitter",2021-08-14,23:30:00,"lukas halomoan tempodotco kemarin junjung lawan tim kerja ppkm jawa bal ngumpulin massa grogol tolol junjung"
"instagram",2021-07-09,21:59:00,"pemerintah putus pemberlakuan batas giat masyarakat ppkm darurat 15 kabupaten kota jawa bal kota medan sumatera utara salah daerah terap ppkm darurat 12 20 juli gubernur sumut edy rahmayadi pemberlakuan ppkm darurat komunikasi daerah batas langsung kota medan informasi kabupaten kota tetangga kota medan masyarakat tumpuk kota medan 20 juli edy rapat virtual wali kota medan bobby nasution menko ekonomi airlangga hartarto rumah nas gubernur medan jumat 9 7 2021 edy terap ppkm darurat medan salah upaya antisipasi sebar covid 19 varian delta varian kali temu india bahaya kerena tular cepat banding vasian tindak khusus keluar jakarta sekat ppkm darurat edy edy merinci atur terap medan pemberlakuan ppkm darurat giat masyarakat kantor usaha publik batas luas warga kota batas pintu masuk daerah tetangga awas ketat puncak raya idul adha 20 juli umat islam jalan salat id berjamaah masjid lapang takbir keliling larang warga salat rumah salat jemaah idul adha rumah edy prosesi kurban laksana protokol sehat ketat selenggara kurban antre terima kurban daging kurban antar libat kepling babinsa babinkamtibas edy rahmayadi bobbynst"
"youtube",2021-08-30,21:10:00,"ayo semangat ppkm 2024 biar demo rezim ku duga"
"instagram",2021-08-09,12:15:00,"min vaksin bio min denpasarkota"
"instagram",2021-07-23,13:40:00,"bagus nih kayak nih mesti support n dukung biar semangat n konsisten konten nya ragu gali potensi mateng musik nya sukses ya mu clapping hands"
"instagram",2021-07-27,16:30:00,"ikut kemrungsung nih"
"instagram",2021-08-06,16:40:00,"moratorium who beri booster masyarakat luas nakes lampu hijau"
"twitter",2021-08-03,04:24:00,"ppkm hati hilang"
"twitter",2021-07-31,11:56:00,"polsek padang hulu laksana ops yustisi cegah sebar covid 19 sosialisasi instruksi gubernur sumatera utara nomor 188 54 15 inst 2021 panjang pemberlakuan batas giat masyarakat basis mikro himbauan prokes"
"twitter",2021-07-03,10:55:00,"wilayah dki jakarta siap 60 titik lokasi batas kendal mobilitas masyarakat ppkm darurat covid 19 opsaman nusa i"
"twitter",2021-08-04,06:00:00,"coba paham presiden jokowi hitung risiko muncul kait bijak ppkm lanjuta putus bilang"
"twitter",2021-07-17,11:42:00,"kakekhalal tuju gue face with tears of joy face with tears of joy face with tears of joy"
"twitter",2021-07-31,22:09:00,"lin apr1lia paulus willy orang partai dukung pemerintah cangkeme koyo sih ikan buntal kecewa kepakeh ya"
"twitter",2021-07-06,22:17:00,"tau akibat kalo buka dagang usaha tegur sanksi nama ekonomi jalan jujur gua muak huru hara covid 19 cepat lambat jelas"
"youtube",2021-09-18,19:41:00,"alhamdulillah moga susul amin"
"youtube",2021-08-14,22:06:00,"8b883 r vur fyi"
"instagram",2021-08-19,11:36:00,"merdeka merdeka merdeka brosis rasa masuk hut r 76 riah mu yamaha pengin all new n max promo bayar 2 juta bayar gear 125 900 an all aerox 155cc bayar 1 3 juta merdeka r penasaran disko hemat ya buru dealer resmi yamaha dekat kota prokes ya borsis tau detail yamaha follow us yamahakaltim"
"twitter",2021-08-16,20:28:00,"tahi gue tangis gara gara kerja gara gara ppkm panjang"
"youtube",2021-10-10,18:42:00,"sekolah perdana ppkm"
"twitter",2021-07-16,22:06:00,"tirta hudhi bahas kuliner receh receh dok"
"instagram",2021-10-09,15:43:00,"molring kurnia makaroni kurnia basreng pedas sedia variant orginal pedas jagung manis jagung bakar balado barbeque keju"
"youtube",2021-07-15,23:35:00,"saban acara islam ganggu mulu psbb lokdon ppkm"
"instagram",2021-08-23,17:17:00,"gow 3 nih bosque backhand index pointing down backhand index pointing down hundred points god of war 3 remastered kondisi second deskripsi normal lancar jaya lokasi jakarta harga 185 000 jamin refund 100 barang suai deskripsi we always provide your late nite gaming needs shooting star titip jual order down arrow telephone line 614fvcau wa 0815 1713 6088 klik link bio"
"twitter",2021-09-16,20:46:00,"mikanakal99 ppkm pelan pelan"
"twitter",2021-07-19,20:16:00,"suka ppkm suka ppk"
"twitter",2021-08-12,23:01:00,"akun asli entar habis ppkm"
"twitter",2021-08-13,07:34:00,"extrovert jebak strict parents ppkm ah mantap"
"instagram",2021-07-09,14:14:00,"penasaran tau isi soto banjar kahuripan admin kasih spoiler unboxing isi nih eh telor rebus tuh banget isi jamin enak bikin kenyang pokok beaming face with smiling eyes cuss langsung order soto banjar kahuripan teman lapar kakak kakak langsung klik link bio sedia go shop tunggu order ya"
"twitter",2021-07-09,22:41:00,"moonareas anjing"
"twitter",2021-07-07,11:42:00,"polresta solo kabaharkam polri komjen pol drs arief sulistyanto sih operasi aman nusa i rangka laksana ppkm darurat operasi manusia orientasi pemulihan pandemi berantas pandemi 15"
"twitter",2021-09-22,21:44:00,"nksthi bulan urus birokrasi plus hitung biaya baik face with tears of joy"
"instagram",2021-09-25,07:50:00,"sampurasun sobat kim tim monitoring evaluasi bantu uang ta 2021 nas rumah mukim provinsi jawa barat laksana kunjung monitoring lokasi giat kabupaten kota terima bantu uang pemerintah provinsi jawa barat tim monev bankeu nas rumah mukim provinsi jawa barat aida fitriyani sih sih me kepala bidang tanah gun gun gunawan sih st staff bidang kawasan mukim hendra gunawan staff subag rencana lapor egy dzulfahmi sih kom staff bidang tanah monitoring progress giat bangun alun alun taman kota bantu uang provinsi jawa barat pemerintah kabupaten kuning progres bangun alun alun taman kota lokasi lurah kuning camat kuning kabupaten kuning harap oktober 2021 selesa proyek untuk destinasi wisata harap ungkit ekonomi masyarakat kabupaten kuning person tipping hand smiling face with smiling eyes penasaran hasil sobat yuk dukung giat nas rumah mukim winking face winking face kunjung ig disperkimjabar fb disperkim jabar twitter disperkimhegar web disperkim jabarprov cowok id"
"twitter",2021-07-19,16:06:00,"sitsnoe tau orang bodoh smnjk ppkm"
"twitter",2021-09-18,16:44:00,"jawa timur provinsi capai level 1 ppkm dasar kemenkes youtu be chy4tnrrmwo"
"twitter",2021-08-16,22:08:00,"princesslienad loudly crying face"
"instagram",2021-07-07,16:18:00,"bandarlampung lampung segalow walikota kota bandarlampung eva dwiana inspeksi dadak posko batas sukarame sidak eva suruh tugas piket posko covid 19 jaga henti laju kendara asal kota langsung tugas swab antigen rabu 7 7 r r swab antigen 34 datang 6 unit travel roda r4 hasil 29 orang negatif 5 orang nyata positif infeksi covid 19 5 orang 3 orang laki laki 2 orang perempuan arah jalan tanggamus pringsewu sawar r r eva benar sekat pemerintah kota bandarlampung dokter swab antigen r r khusus camat sukarame arah bakauheni orang positif langsung isolasi rumah sakit unila henti daerah kota bandarlampung negatif jalan terus reaktif rawat rumah sakit isolasi mandiri baca lengkap"
"twitter",2021-07-02,23:45:00,"udala ppkm ih bodoh the bone"
"youtube",2021-10-22,19:00:00,"super big match weekend pilih psbb eps 48"
"twitter",2021-07-29,17:03:00,"7 orang silent killer orang keren mahasiswa sjw kang provokator tes polrestabes bandung tes cepat tangkap 150 orang massa aksi tolak ppkm darurat balai kota bandung rabu 21 7"
"twitter",2021-07-02,23:47:00,"bdngfess pemberlakuan batas giat masyarakat"
"twitter",2021-08-30,23:50:00,"radenrauf cari app premium banget yuk netflix youtube wattpad wetv viu iqiyi yuk cek bawah dm klik link wa bio ya"
"twitter",2021-07-25,18:06:00,"bisniscom damai covid 19 cari usaha jalan karyawan kerja cafe pasar apotik transportasi apa normal bagi 3 shift 100 karyawan bagi 33 pershift protokol sehat super ketat"
"twitter",2021-08-04,20:37:00,"skiesofme areajulid bibi kemarin stres gara ppkm alhamdulillah jual lancar jual cincin doang gelang kalung dkk pokok sawah serta motor"
"twitter",2021-09-06,20:05:00,"fardesal banjarbase rekomen awoakwoakwoak"
"instagram",2021-07-05,16:08:00,"haha hasil ppkm darurat pandemic gelombang mana stayhome staysafe ikut atur pemerintah penting cepat selesai film pandemic grinning face with smiling eyes bawa enjoy guys ribet hidup today masak beli resto favourite non halal nasiakwang halal sarangoci halal halal lunas bawa pulang grinning face with smiling eyes makan rumah uenak mantul mantil maknyus mengkrunyut face with tears of joy"
"instagram",2021-07-15,15:01:00,"wkwkkw banget aduh"
"twitter",2021-07-09,06:03:00,"cnnindonesia rakyat indonesia butuh ya om"
"twitter",2021-07-26,10:26:00,"humas resklaten 7 presiden joko widodo putus lanjut terap bijak pemberlakuan batas giat masyarakat ppkm level 4 tanggal 26 juli tanggal 2 agustus 2021 isoter cegah sebar"
"twitter",2021-07-17,19:09:00,"beda dasar pandemi era pandemi covid 19 vaksin covid 19 pandemi masyarakat stres depresi anxiety imbas psbb ppkm lockdown kerja cari nafkah gerak batas orang stres depresi anxiety"
"twitter",2021-07-21,19:16:00,"republikaonline ya kalo harap henti ppkm henti covid"
"twitter",2021-07-24,00:45:00,"serah bantu sosial rangka upaya kendali sebar covid 19 pemberlakuan batas giat masyarakat ppkm disiplin masyarakat protokol sehat prokes"
"twitter",2021-07-15,13:52:00,"hynjn1605 habis peluk ppkm season kian"
"instagram",2021-07-27,10:03:00,"problem solusindo apa jenis pintu sumber gerbang pagar"
"twitter",2021-07-21,16:14:00,"ppkm pelan pelan kau jauh speak no evil monkey"
"twitter",2021-07-07,19:44:00,"tvonenews karniilyas masyakat biaya hidup cari sehari2 pukul hidup besok tanggal 20 juli ada peduli"
"twitter",2021-08-16,18:44:00,"cari bestie gregetan tau ppkm me and bf taat atur face with tears of joy kalo mah lo dua vaksin laki lo mobil ngedate mobil lo gue sanggup ber gas bodoamat ppkm deh vaksin kerumun face with tears of joy"
"twitter",2021-08-03,06:33:00,"tangis pilu sopir angkot akibat ppkm tumpang sepi makan utang tangis pilu sopir angkot sepi tumpang akibat ppkm darurat"
"instagram",2021-09-24,20:51:00,"bahagia sederhana main barenh keluarga transstudiomini jagan lupa pakai masker ya sobat tang"
"twitter",2021-08-23,09:18:00,"nugowentgone malam jam 7 8"
"twitter",2021-07-22,20:24:00,"ppkm tertib lahan kayak bitung tunda dlvr s4csyx"
"twitter",2021-08-07,08:26:00,"ppkm tangkal pandemi"
"instagram",2021-08-10,08:28:00,"daftar sila hubung daerah"
"twitter",2021-10-19,12:30:00,"daerah level 4 ppkm jawa bal panjang 3 pekan transnews cowok id daer"
"instagram",2021-09-22,12:50:00,"asallamuallaikum wr wb bismillahirrohmanirrohim jasa titip jual running shoe adidas copa 20 1 fg no art size 42 26 5 magnifying glass tilted right kondisi istimewa 4x pakai money bag harga 1 3 juta rupiah house with garden barang blitar mobile phone with arrow chat 085646320665"
"twitter",2021-09-05,20:33:00,"waspada hasut aksi unjuk kelompok kelompok eks hti fpi ormas anti pancasila tolak ppkm vaksinisasi ayo ikut vaksinasi"
"instagram",2021-08-03,17:11:00,"beli jual harga murah olshop konsultasi gratis hasil maksimal tips tips milik garansi 100uang barang bantu pantau jasa kirim barang tang anger symbol gratis konsultasi anger symbol free ongkir kuas cantik beli anger symbol bayar via baca bri bni anger symbol free wa grub eksklusif dapat tips tips info cantik anger symbol open dropshiper reseller info wa 082361834386"
"instagram",2021-09-02,20:05:00,"nice bang fire fire"
"youtube",2021-07-17,23:58:00,"hukum dunia adil manusia adil hukum allah swt folded hands folded hands folded hands"
"twitter",2021-07-31,19:19:00,"ppkm pelan pelan menjagajarak"
"youtube",2021-08-16,21:51:00,"panjang perabot rumah kosong pindah tang grinning squinting face grinning squinting face grinning squinting face"
"twitter",2021-07-28,21:49:00,"love language nya physical touch quality time kalo ldr chat nya kangen ppkm gigit jari"
"instagram",2021-07-21,07:39:00,"pagi sayang enak"
"twitter",2021-07-28,12:29:00,"mardianson9 hanifahandini96 moga kian tumbuh tingkat sembuh baik ekonomi pulih masyarakat sejahtera"
"instagram",2021-07-10,08:40:00,"jaga imun jaga iman jaga aman lupa 10 nya ya globe showing asia australia stadion patriot candrabagha kota bekas"
"instagram",2021-07-15,13:21:00,"dagang kerut"
"instagram",2021-08-09,18:05:00,"muhammad riswandi anggota pramuka gudep 06 014 pangkal upt neger 4 wajo sukses ppkm level 3 kemah pramuka kwarran maniangpajo golong tegak 2021 pandemi panjang bakti henti selamat pramuka 60 dirgahayu 76 republik indonesia bakti pramuka indonesia tangguh indonesia tumbuh cemarascoutcomunity kwarcabwajo kwardasulsel"
"twitter",2021-08-06,15:10:00,"shadelines halo bosan ppkm solusi nih jual aplikasi premium yuk buru order smiling face with heart eyes jamin murah trusted aman money with wings dana shopeepay gopay mandiri"
"instagram",2021-07-22,16:58:00,"paket a paket sembako dapat harga rp 115 153 dapat t1 pc sabun botol lifebuoy 300ml t1 pc pasta gigi colgate 160gr t2 pcs snack oriental rostick t2 pcs susu steril 180ml t1 pc minyak goreng 1liter pcs mie instant soleha t2 pcs permen nano nano t1 pc susu kental manis tarik tarik 1kg dm whatsapp 6282113026647 indonesia 601126663727 malay minimal order 50rb free ongkir batas antar pasar ikan 15"
"instagram",2021-08-03,21:03:00,"comingsoon hmfc road maleber olympic center mari silaturahmi jaga sehat jumpa lapang"
"twitter",2021-08-31,10:27:00,"informasi baru ayan imigrasi kantor imigrasi yogyakarta masa panjang ppkm level 4 6 september 2021 informasi hubung kanal informasi sedia ya"
"twitter",2021-07-25,21:49:00,"ppkm panjang guys agustus entar panjang matiin langsung"
"twitter",2021-08-03,01:51:00,"ppkm panjang aing ketemu ayangkuu persevering face"
"twitter",2021-09-06,10:12:00,"capai vaksinasi tolak ukur mimika turun level ppkm"
"instagram",2021-09-01,13:13:00,"wallborder uk 10 5cm kali 10 meter 5 5r b 45rb 1kg muat 5roll fungsi batas border hias dinding cantik smiling face with heart eyes lem ya kak tinggal tempel grinning face with smiling eyes bahan plastik pvc tahan air transparan solid yuk order langsung via wa 087803144655"
"instagram",2021-08-16,06:06:00,"bismillah rezeki menang nengnelit neviirawan callme han2 ilchi lisrum1331 dhlyaa601 fire"
"instagram",2021-10-11,15:08:00,"promo healthy monday hello senin semangat nih senin dapat buy 1 get 1 free varian minum loh bebas pilih menu minum favorite ya smiling face with heart eyes promo berlaku tanggal 27 september 31 oktober 2021 senin ya yukk langsung outlet tahooe gading serpong red heart happy monday healthy monday syarat tentu berlaku ladybeetahooe gs"
"twitter",2021-07-08,13:29:00,"warga dagang marah marah sita dagang sopan santun ganjarpranowo tinjau laksana ppkm darurat kota semarang jaga prokes ya lurr folded hands"
"instagram",2021-08-04,20:36:00,"inepin barak remaja batalyon dekat orang kayak besok langsung insap video lengkap pria dapat masker duga mabuk rusak pos ppkm candi pria aman anggota bantu warga kodam5brw pasuk tempur"
"twitter",2021-07-28,18:56:00,"muda asing channel channel ganti televisi acara ya pengin thread iseng channel tonton ponakan kali iseng tonton pas ppkm"
"youtube",2021-07-14,22:30:00,"taiwan ppkm panjang pe 3x"
"twitter",2021-08-25,16:43:00,"warung sumilir trawas"
"twitter",2021-09-15,20:58:00,"terima kasih iamkakinn and ppkm saldo masuk moga sehat sehat"
"twitter",2021-09-24,09:16:00,"pekanbaru ppkm level 2 operasional pusat belanja suai kondisi zona covid 19 dlvr s8b5tv"
"instagram",2021-09-12,09:29:00,"tau download aplikasi pln mobile bantu mudah giat download lupa ya download"
"twitter",2021-07-17,14:53:00,"hariyadisaja ulil ppkm dasar hukum laksana karantina wilayah uunya turun atur"
"twitter",2021-08-06,16:04:00,"nawak dispussipda rehat ppkm level 4 dokumentasi unik mustaka akses layan pustaka kota malang sobat twitter tangkap kamera admin"
"twitter",2021-07-04,15:07:00,"merdekadotcom ppkm berlaku mata sipit grinning face grinning face"
"twitter",2021-08-02,11:11:00,"pemerintah upaya salur bansos ring beban masyarakat dampak ppkm jokowi rakyat"
"twitter",2021-07-23,10:09:00,"bekasibase simpan xixi"
"twitter",2021-07-17,13:03:00,"update pc sold"
"twitter",2021-07-16,20:52:00,"tirtoid 6 minggu kah"
"twitter",2021-07-11,22:28:00,"ayamsegar3 seroja merah cupidlucky2 lif khan88 andiarief rercrown junimendo007 pakde y kadrunhunter21 mikuro06 mas parjo indocora batukepla k3rasakti mustbee17 aroy novan11 makan malam mas hadee susah cari pas ppkm"
"twitter",2021-07-26,01:15:00,"ppkm panjang jabat jokowi habis"
"instagram",2021-08-30,23:27:00,"hahahah kakak"
